PGD ID	PGD Type	Meteorite	Technique	12C/13C	14N/15N	d(29Si/28Si)	d(30Si/28Si)
SiC-0000-AMA-000001	X	Murchison	WU 3f	395.41	14.25	-202	-410
SiC-0000-AMA-000002	X	Murchison	WU 3f	254.44	68.73	-245	-412
SiC-0000-AMA-000003	X	Murchison	WU 3f	357.28	111.4	-273	-423
SiC-0000-AMA-000004	X	Murchison	WU 3f	578.92	148.16	-551	-472
SiC-0000-AMA-000005	X	Murchison	WU 3f	149.26	61.98	-428	-456
SiC-0000-AMA-000006	X	Murchison	WU 3f	1299.53	30.02	-335	-647.14
SiC-0000-AMA-000007	X	Murchison	WU 3f	614.03	32.03	-293.8	-411.49
SiC-0000-AMA-000008	X	Murchison	WU 3f	216.59	111.72	-556.53	-317.31
SiC-0000-AMA-000009	X	Murchison	WU 3f	197.92	41.74	-160.85	-261.36
SiC-0000-AMA-000010	X	Murchison	WU 3f	1357.41	45.8	-334.5	-461.88
SiC-0000-AMA-000011	X	Murchison	WU 3f	381.37	84.5	-256.86	-363.14
SiC-0000-AMA-000012	X	Murchison	WU 3f	124.59	83.5	-180.32	-306.64
SiC-0000-AMA-000013	X	Murchison	WU 3f	210.33	78.1	-262.59	-377.79
SiC-0000-GYN-000001	AB	Indarch	WU NanoSIMS	4.83		32	53
SiC-0000-GYN-000002	AB	Indarch	WU NanoSIMS	3.95		164	113
SiC-0000-GYN-000003	X	Indarch	WU NanoSIMS	56.90		-404	-464
SiC-0000-GYN-000004	AB	Indarch	WU NanoSIMS	9.69		46	43
SiC-0000-GYN-000005	X	Indarch	WU NanoSIMS	60.00		-56	-100
SiC-0000-GYN-000006	AB	Indarch	WU NanoSIMS	8.13		1	-14
SiC-0000-GYN-000007	AB	Indarch	WU NanoSIMS	4.55		9	23
SiC-0000-GYN-000008	X	Indarch	WU NanoSIMS	73.62		-183	-239
SiC-0000-GYN-000009	AB	Indarch	WU NanoSIMS	8.46		-5	-3
SiC-0000-GYN-000010	Y	Indarch	WU NanoSIMS	107.36		-21	1
SiC-0000-GYN-000011	AB	Indarch	WU NanoSIMS	9.23		37	37
SiC-0000-GYN-000012	AB	Indarch	WU NanoSIMS	9.43		44	19
SiC-0000-GYN-000013	AB	Indarch	WU NanoSIMS	2.53		10	2
SiC-0000-GYN-000014	AB	Indarch	WU NanoSIMS	8.96		-27	-3
SiC-0000-GYN-000015	AB	Indarch	WU NanoSIMS	9.71		51	54
SiC-0000-GYN-000016	AB	Indarch	WU NanoSIMS	7.21		-1	21
SiC-0000-GYN-000017	Y	Indarch	WU NanoSIMS	146.71		-9	-1
SiC-0000-GYN-000018	Y	Indarch	WU NanoSIMS	110.42		-29	-7
SiC-0000-GYN-000019	AB	Indarch	WU NanoSIMS	7.69		26	26
SiC-0000-GYN-000020	AB	Indarch	WU NanoSIMS	5.27		60	49
SiC-0000-GYN-000021	AB	Indarch	WU NanoSIMS	6.72		33	56
SiC-0000-GYN-000022	AB	Indarch	WU NanoSIMS	3.22		41	36
SiC-0000-GYN-000023	AB	Indarch	WU NanoSIMS	3.98		-22	11
SiC-0000-GYN-000024	AB	Indarch	WU NanoSIMS	4.58		71	53
SiC-0000-GYN-000025	AB	Indarch	WU NanoSIMS	3.47		-7	48
SiC-0000-GYN-000026	AB	Indarch	WU NanoSIMS	4.35		-31	-40
SiC-0000-GYN-000027	AB	Indarch	WU NanoSIMS	3.50		-11	36
SiC-0000-GYN-000028	X	Indarch	WU NanoSIMS	75.64		-111	-99
SiC-0000-GYN-000029	X	Indarch	WU NanoSIMS	105.43		-403	-481
SiC-0000-GYN-000030	Y	Indarch	WU NanoSIMS	100.67		11	-8
SiC-0000-GYN-000031	Y	Indarch	WU NanoSIMS	107.71		-5	10
SiC-0000-GYN-000032	AB	Indarch	WU NanoSIMS	8.65		27	32
SiC-0000-GYN-000033	AB	Indarch	WU NanoSIMS	8.69		65	63
SiC-0000-GYN-000034	AB	Indarch	WU NanoSIMS	3.25		-7	20
SiC-0000-GYN-000035	X	Indarch	WU NanoSIMS	409.18		-341	-556
SiC-0000-GYN-000036	Y	Indarch	WU NanoSIMS	106.37		1	18
SiC-0000-GYN-000037	X	Indarch	WU NanoSIMS	498.41		-301	-472
SiC-0000-GYN-000038	AB	Indarch	WU NanoSIMS	4.28		67	53
SiC-0000-GYN-000039	AB	Indarch	WU NanoSIMS	7.01		41	60
SiC-0000-GYN-000040	X	Indarch	WU NanoSIMS	20.99		-66	-116
SiC-0000-GYN-000041	AB	Indarch	WU NanoSIMS	7.59		-19	-13
SiC-0000-GYN-000042	AB	Indarch	WU NanoSIMS	2.41		-41	-5
SiC-0000-GYN-000043	AB	Indarch	WU NanoSIMS	5.04		97	61
SiC-0000-GYN-000044	AB	Indarch	WU NanoSIMS	4.28		-28	-1
SiC-0000-GYN-000045	AB	Indarch	WU NanoSIMS	5.18		14	33
SiC-0000-GYN-000046	Y	Indarch	WU NanoSIMS	133.89		-8	-11
SiC-0000-GYN-000047	AB	Indarch	WU NanoSIMS	4.79		61	50
SiC-0000-GYN-000048	Y	Indarch	WU NanoSIMS	100.46		-23	5
SiC-0000-GYN-000049	Y	Indarch	WU NanoSIMS	100.65		-9	7
SiC-0000-GYN-000050	Y	Indarch	WU NanoSIMS	133.79		-37	-21
SiC-0000-GYN-000051	AB	Indarch	WU NanoSIMS	5.09		9	49
SiC-0000-GYN-000052	AB	Indarch	WU NanoSIMS	7.60		-18	-1
SiC-0000-GYN-000053	AB	Indarch	WU NanoSIMS	9.13		28	16
SiC-0000-GYN-000054	AB	Indarch	WU NanoSIMS	7.18		-20	-17
SiC-0000-GYN-000055	AB	Indarch	WU NanoSIMS	7.77		38	47
SiC-0000-GYN-000056	AB	Indarch	WU NanoSIMS	9.26		44	44
SiC-0000-GYN-000057	AB	Indarch	WU NanoSIMS	4.22		66	44
SiC-0000-GYN-000058	X	Indarch	WU NanoSIMS	265.11		-492	-666
SiC-1992-AMA-000001	X	Murchison	WU 3f	1135	18.1	-376	-585
SiC-1992-AMA-000002	X	Murchison	WU 3f & ANU SHRIMP	304	106	-459	-454
SiC-1992-AMA-000003	X	Murchison	WU 3f	191	71	-318	-517
SiC-1992-AMA-000004	X	Murchison	WU 3f	2525	12.6	-363	-529
SiC-1992-AMA-000005	X	Murchison	WU 3f	168	159	-249	-388
SiC-1992-VIR-000003	M	Murchison	WU 3f	48.56	2015	44.2	52.3
SiC-1992-VIR-000004	M	Murchison	WU 3f	48.82	716	43.4	47.0
SiC-1992-VIR-000005	M	Murchison	WU 3f	57.37		75.9	53.9
SiC-1992-VIR-000006	M	Murchison	WU 3f	94.05		78.6	71.5
SiC-1992-VIR-000007	M	Murchison	WU 3f	48.38	353	42.8	52.9
